,Made Donation in March 2007
659,0.23
276,0.23
263,0.15
303,0.23
83,0.38
500,0.23
530,0.23
244,0.23
249,0.23
728,0.23
129,0.23
534,0.23
317,0.31
401,0.23
696,0.23
192,0.23
176,0.23
571,0.23
139,0.31
423,0.23
563,0.23
56,0.38
528,0.23
101,0.15
467,0.23
382,0.31
466,0.23
294,0.23
512,0.23
659,0.23
389,0.31
487,0.23
701,0.23
419,0.23
536,0.23
240,0.23
508,0.23
515,0.23
283,0.23
650,0.23
65,0.15
228,0.23
741,0.23
297,0.23
464,0.23
63,0.15
231,0.23
28,0.15
248,0.23
357,0.23
300,0.31
726,0.23
680,0.23
520,0.23
254,0.23
582,0.23
143,0.38
98,0.23
1,0.23
221,0.38
352,0.15
64,0.31
138,0.38
745,0.23
64,0.31
688,0.23
623,0.23
289,0.31
174,0.31
690,0.23
105,0.31
427,0.23
48,0.00
14,0.08
657,0.23
301,0.23
455,0.23
579,0.23
722,0.23
98,0.23
491,0.23
303,0.23
466,0.23
65,0.15
300,0.31
9,0.08
622,0.23
323,0.23
289,0.31
568,0.23
290,0.15
156,0.23
464,0.23
426,0.23
306,0.23
4,0.31
12,0.23
187,0.31
406,0.23
96,0.15
509,0.23
733,0.23
548,0.23
478,0.23
501,0.23
127,0.23
199,0.38
299,0.23
162,0.15
235,0.23
23,0.15
473,0.23
487,0.23
683,0.23
303,0.23
309,0.23
569,0.23
34,0.38
686,0.23
84,0.23
733,0.23
537,0.23
181,0.23
453,0.31
67,0.38
161,0.38
307,0.23
703,0.23
181,0.23
246,0.23
316,0.23
278,0.23
346,0.23
545,0.23
419,0.23
694,0.23
622,0.23
663,0.23
262,0.23
461,0.31
373,0.38
233,0.15
466,0.23
207,0.31
263,0.15
16,0.00
513,0.23
449,0.23
429,0.23
701,0.23
632,0.23
529,0.23
245,0.23
344,0.23
353,0.23
241,0.31
633,0.23
624,0.23
726,0.23
189,0.23
138,0.38
402,0.23
511,0.23
590,0.23
334,0.23
447,0.23
119,0.23
389,0.31
644,0.23
423,0.23
131,0.23
405,0.23
82,0.15
643,0.31
156,0.23
617,0.23
574,0.23
272,0.31
613,0.23
545,0.23
685,0.23
570,0.23
537,0.23
691,0.23
85,0.38
483,0.23
455,0.23
93,0.23
744,0.23
33,0.08
321,0.31
523,0.23
426,0.23
196,0.23
301,0.23
103,0.23
224,0.23
454,0.23
585,0.23
154,0.38
