,Made Donation in March 2007
659,0.18
276,0.18
263,0.18
303,0.18
83,0.45
500,0.18
530,0.18
244,0.18
249,0.18
728,0.18
129,0.18
534,0.18
317,0.27
401,0.18
696,0.18
192,0.18
176,0.18
571,0.18
139,0.27
423,0.18
563,0.18
56,0.36
528,0.18
101,0.09
467,0.18
382,0.27
466,0.18
294,0.18
512,0.18
659,0.18
389,0.27
487,0.18
701,0.18
419,0.18
536,0.18
240,0.18
508,0.18
515,0.18
283,0.18
650,0.18
65,0.09
228,0.18
741,0.18
297,0.18
464,0.18
63,0.09
231,0.18
28,0.18
248,0.18
357,0.18
300,0.27
726,0.18
680,0.18
520,0.18
254,0.18
582,0.18
143,0.45
98,0.18
1,0.36
221,0.36
352,0.18
64,0.27
138,0.36
745,0.18
64,0.27
688,0.18
623,0.18
289,0.27
174,0.27
690,0.18
105,0.27
427,0.18
48,0.00
14,0.00
657,0.18
301,0.18
455,0.18
579,0.18
722,0.18
98,0.18
491,0.18
303,0.18
466,0.18
65,0.09
300,0.27
9,0.09
622,0.18
323,0.18
289,0.27
568,0.18
290,0.18
156,0.18
464,0.18
426,0.18
306,0.18
4,0.45
12,0.18
187,0.27
406,0.18
96,0.09
509,0.18
733,0.18
548,0.18
478,0.18
501,0.18
127,0.18
199,0.36
299,0.18
162,0.09
235,0.18
23,0.09
473,0.18
487,0.18
683,0.18
303,0.18
309,0.18
569,0.18
34,0.27
686,0.18
84,0.18
733,0.18
537,0.18
181,0.18
453,0.27
67,0.36
161,0.45
307,0.18
703,0.18
181,0.18
246,0.18
316,0.18
278,0.18
346,0.18
545,0.18
419,0.18
694,0.18
622,0.18
663,0.18
262,0.27
461,0.27
373,0.36
233,0.18
466,0.18
207,0.27
263,0.18
16,0.09
513,0.18
449,0.18
429,0.18
701,0.18
632,0.18
529,0.18
245,0.18
344,0.18
353,0.18
241,0.27
633,0.18
624,0.18
726,0.18
189,0.18
138,0.36
402,0.18
511,0.18
590,0.18
334,0.18
447,0.18
119,0.18
389,0.27
644,0.18
423,0.18
131,0.18
405,0.18
82,0.09
643,0.36
156,0.18
617,0.18
574,0.18
272,0.27
613,0.18
545,0.18
685,0.18
570,0.18
537,0.18
691,0.18
85,0.36
483,0.18
455,0.18
93,0.18
744,0.18
33,0.09
321,0.36
523,0.18
426,0.18
196,0.18
301,0.18
103,0.18
224,0.18
454,0.18
585,0.18
154,0.36
