,Made Donation in March 2007
659,0.75
276,0.15
263,0.15
303,0.15
83,0.15
500,0.61
530,0.15
244,0.15
249,0.15
728,0.15
129,0.15
534,0.15
317,0.15
401,0.15
696,0.15
192,0.15
176,0.15
571,0.15
139,0.15
423,0.15
563,0.61
56,0.15
528,0.14
101,0.15
467,0.15
382,0.15
466,0.15
294,0.15
512,0.27
659,0.75
389,0.15
487,0.15
701,0.15
419,0.15
536,0.15
240,0.15
508,0.15
515,0.15
283,0.94
650,0.15
65,0.14
228,0.15
741,0.15
297,0.75
464,0.15
63,0.15
231,0.15
28,0.15
248,0.15
357,0.15
300,0.15
726,0.27
680,0.15
520,0.30
254,0.15
582,0.15
143,0.15
98,0.27
1,0.70
221,0.15
352,0.15
64,0.15
138,0.15
745,0.27
64,0.15
688,0.15
623,0.15
289,0.15
174,0.15
690,0.15
105,0.15
427,0.15
48,0.15
14,0.27
657,0.15
301,0.15
455,0.15
579,0.15
722,0.15
98,0.27
491,0.15
303,0.15
466,0.15
65,0.14
300,0.15
9,0.14
622,0.15
323,0.15
289,0.15
568,0.15
290,0.15
156,0.15
464,0.15
426,0.15
306,0.15
4,0.15
12,0.15
187,0.15
406,0.15
96,0.15
509,0.27
733,0.15
548,0.15
478,0.15
501,0.15
127,0.27
199,0.15
299,0.30
162,0.15
235,0.15
23,0.15
473,0.15
487,0.15
683,0.15
303,0.15
309,0.15
569,0.15
34,0.15
686,0.15
84,0.15
733,0.15
537,0.14
181,0.15
453,0.94
67,0.27
161,0.27
307,0.27
703,0.15
181,0.15
246,0.15
316,0.70
278,0.15
346,0.15
545,0.15
419,0.15
694,0.15
622,0.15
663,0.15
262,0.61
461,0.27
373,0.79
233,0.15
466,0.15
207,0.15
263,0.15
16,0.15
513,0.15
449,0.70
429,0.15
701,0.15
632,0.15
529,0.79
245,0.15
344,0.15
353,0.15
241,0.15
633,0.15
624,0.15
726,0.27
189,0.15
138,0.15
402,0.15
511,0.30
590,0.15
334,0.15
447,0.15
119,0.27
389,0.15
644,0.15
423,0.15
131,0.15
405,0.15
82,0.15
643,0.61
156,0.15
617,0.15
574,0.15
272,0.15
613,0.15
545,0.15
685,0.15
570,0.15
537,0.14
691,0.15
85,0.15
483,0.15
455,0.15
93,0.15
744,0.27
33,0.15
321,0.64
523,0.27
426,0.15
196,0.15
301,0.15
103,0.15
224,0.15
454,0.15
585,0.15
154,0.15
