,Made Donation in March 2007
659,0.33
276,0.33
263,0.18
303,0.27
83,0.18
500,0.85
530,0.18
244,0.27
249,0.18
728,0.27
129,0.18
534,0.18
317,0.18
401,0.18
696,0.18
192,0.18
176,0.18
571,0.18
139,0.18
423,0.27
563,0.18
56,0.18
528,0.18
101,0.18
467,0.18
382,0.18
466,0.18
294,0.27
512,0.18
659,0.33
389,0.18
487,0.18
701,0.18
419,0.33
536,0.18
240,0.18
508,0.18
515,0.27
283,0.18
650,0.18
65,0.18
228,0.27
741,0.27
297,0.33
464,0.27
63,0.18
231,0.18
28,0.27
248,0.27
357,0.27
300,0.33
726,0.18
680,0.27
520,0.27
254,0.18
582,0.18
143,0.18
98,0.33
1,0.27
221,0.33
352,0.18
64,0.18
138,0.18
745,0.33
64,0.18
688,0.27
623,0.18
289,0.18
174,0.18
690,0.18
105,0.18
427,0.27
48,0.18
14,0.18
657,0.18
301,0.18
455,0.27
579,0.18
722,0.27
98,0.33
491,0.18
303,0.27
466,0.18
65,0.18
300,0.33
9,0.18
622,0.18
323,0.27
289,0.18
568,0.18
290,0.18
156,0.18
464,0.27
426,0.27
306,0.27
4,0.18
12,0.18
187,0.18
406,0.18
96,0.18
509,0.18
733,0.18
548,0.18
478,0.18
501,0.18
127,0.27
199,0.27
299,0.27
162,0.18
235,0.27
23,0.18
473,0.18
487,0.18
683,0.18
303,0.27
309,0.33
569,0.18
34,0.33
686,0.18
84,0.18
733,0.18
537,0.18
181,0.18
453,0.18
67,0.33
161,0.33
307,0.33
703,0.18
181,0.18
246,0.27
316,0.33
278,0.18
346,0.18
545,0.18
419,0.33
694,0.18
622,0.18
663,0.18
262,0.85
461,0.27
373,0.27
233,0.18
466,0.18
207,0.18
263,0.18
16,0.18
513,0.18
449,0.33
429,0.18
701,0.18
632,0.18
529,0.27
245,0.18
344,0.27
353,0.27
241,0.18
633,0.27
624,0.18
726,0.18
189,0.18
138,0.18
402,0.27
511,0.27
590,0.18
334,0.18
447,0.27
119,0.33
389,0.18
644,0.18
423,0.27
131,0.18
405,0.18
82,0.18
643,0.27
156,0.18
617,0.18
574,0.18
272,0.18
613,0.18
545,0.18
685,0.27
570,0.18
537,0.18
691,0.27
85,0.18
483,0.27
455,0.27
93,0.18
744,0.18
33,0.27
321,0.33
523,0.18
426,0.27
196,0.27
301,0.18
103,0.27
224,0.18
454,0.18
585,0.18
154,0.18
