,Made Donation in March 2007
659,0.48
276,0.37
263,0.34
303,0.36
83,0.41
500,0.63
530,0.35
244,0.30
249,0.30
728,0.30
129,0.30
534,0.38
317,0.44
401,0.38
696,0.50
192,0.31
176,0.30
571,0.34
139,0.30
423,0.61
563,0.63
56,0.41
528,0.40
101,0.31
467,0.31
382,0.48
466,0.41
294,0.34
512,0.38
659,0.48
389,0.48
487,0.30
701,0.51
419,0.48
536,0.37
240,0.30
508,0.32
515,0.37
283,0.47
650,0.35
65,0.42
228,0.30
741,0.30
297,0.49
464,0.30
63,0.35
231,0.30
28,0.30
248,0.30
357,0.35
300,0.46
726,0.36
680,0.30
520,0.37
254,0.30
582,0.30
143,0.32
98,0.31
1,0.43
221,0.64
352,0.34
64,0.33
138,0.30
745,0.46
64,0.33
688,0.30
623,0.34
289,0.34
174,0.46
690,0.35
105,0.30
427,0.36
48,0.30
14,0.31
657,0.31
301,0.39
455,0.30
579,0.37
722,0.30
98,0.31
491,0.31
303,0.36
466,0.41
65,0.42
300,0.46
9,0.30
622,0.38
323,0.34
289,0.34
568,0.43
290,0.34
156,0.41
464,0.30
426,0.37
306,0.33
4,0.30
12,0.30
187,0.30
406,0.48
96,0.31
509,0.36
733,0.30
548,0.30
478,0.30
501,0.41
127,0.58
199,0.30
299,0.62
162,0.31
235,0.30
23,0.30
473,0.35
487,0.30
683,0.36
303,0.36
309,0.34
569,0.31
34,0.41
686,0.36
84,0.31
733,0.30
537,0.52
181,0.30
453,0.50
67,0.49
161,0.50
307,0.47
703,0.38
181,0.30
246,0.30
316,0.62
278,0.33
346,0.36
545,0.35
419,0.48
694,0.35
622,0.38
663,0.35
262,0.48
461,0.39
373,0.50
233,0.31
466,0.41
207,0.32
263,0.34
16,0.30
513,0.36
449,0.37
429,0.30
701,0.51
632,0.30
529,0.47
245,0.30
344,0.35
353,0.37
241,0.41
633,0.38
624,0.35
726,0.36
189,0.31
138,0.30
402,0.40
511,0.48
590,0.41
334,0.47
447,0.30
119,0.45
389,0.48
644,0.35
423,0.61
131,0.30
405,0.43
82,0.31
643,0.50
156,0.41
617,0.30
574,0.53
272,0.39
613,0.30
545,0.35
685,0.38
570,0.30
537,0.52
691,0.38
85,0.41
483,0.37
455,0.30
93,0.31
744,0.53
33,0.30
321,0.44
523,0.30
426,0.37
196,0.30
301,0.39
103,0.30
224,0.30
454,0.30
585,0.31
154,0.41
