,Made Donation in March 2007
659,0.53
276,0.08
263,0.17
303,0.35
83,0.58
500,0.84
530,0.29
244,0.04
249,0
728,0.05
129,0.1
534,0.13
317,0.23
401,0.18
696,0.35
192,0.06
176,0.22
571,0.51
139,0.05
423,0.33
563,0.52
56,0.32
528,0.46
101,0.16
467,0.23
382,0.26
466,0.41
294,0.04
512,0.36
659,0.53
389,0.27
487,0.02
701,0.32
419,0.23
536,0.12
240,0.25
508,0.14
515,0.04
283,0.4
650,0.19
65,0.45
228,0.12
741,0.04
297,0.43
464,0.09
63,0.26
231,0.41
28,0.07
248,0.04
357,0.14
300,0.52
726,0.66
680,0.14
520,0.33
254,0.02
582,0.19
143,0.14
98,0.49
1,0.27
221,0.49
352,0.17
64,0.06
138,0.24
745,0.38
64,0.06
688,0.06
623,0.07
289,0.17
174,0.33
690,0.19
105,0.15
427,0.1
48,0
14,0.15
657,0.03
301,0.11
455,0.09
579,0.25
722,0.1
98,0.49
491,0
303,0.35
466,0.41
65,0.45
300,0.52
9,0.01
622,0.07
323,0.05
289,0.17
568,0.4
290,0.17
156,0.06
464,0.09
426,0.05
306,0.23
4,0.29
12,0.37
187,0.25
406,0.05
96,0.25
509,0.3
733,0.13
548,0.04
478,0.24
501,0.11
127,0.53
199,0.17
299,0.44
162,0.16
235,0.07
23,0.13
473,0.18
487,0.02
683,0.53
303,0.35
309,0.02
569,0.01
34,0.42
686,0.74
84,0.25
733,0.13
537,0.58
181,0.13
453,0.8
67,0.39
161,0.39
307,0.26
703,0.11
181,0.13
246,0.06
316,0.4
278,0.06
346,0.14
545,0.18
419,0.23
694,0.3
622,0.07
663,0.03
262,0.71
461,0.19
373,0.9
233,0.17
466,0.41
207,0.15
263,0.17
16,0.01
513,0.03
449,0.32
429,0.02
701,0.32
632,0.02
529,0.68
245,0.3
344,0.11
353,0.07
241,0.28
633,0.03
624,0.31
726,0.66
189,0.06
138,0.24
402,0.04
511,0.47
590,0.51
334,0.13
447,0.04
119,0.38
389,0.27
644,0.19
423,0.33
131,0.01
405,0
82,0.16
643,0.92
156,0.06
617,0.04
574,0.53
272,0.19
613,0.04
545,0.18
685,0.04
570,0.19
537,0.58
691,0.03
85,0.42
483,0.07
455,0.09
93,0.05
744,0.32
33,0.06
321,0.77
523,0.23
426,0.05
196,0.06
301,0.11
103,0.03
224,0.03
454,0.08
585,0.02
154,0.3
