,Made Donation in March 2007
659,0.50
276,0.09
263,0.18
303,0.35
83,0.61
500,0.83
530,0.28
244,0.04
249,0.00
728,0.05
129,0.11
534,0.12
317,0.24
401,0.18
696,0.32
192,0.06
176,0.23
571,0.49
139,0.06
423,0.32
563,0.50
56,0.35
528,0.44
101,0.18
467,0.22
382,0.26
466,0.40
294,0.04
512,0.34
659,0.50
389,0.28
487,0.02
701,0.29
419,0.23
536,0.11
240,0.26
508,0.14
515,0.04
283,0.40
650,0.18
65,0.48
228,0.12
741,0.04
297,0.43
464,0.09
63,0.29
231,0.42
28,0.08
248,0.04
357,0.14
300,0.53
726,0.63
680,0.12
520,0.32
254,0.02
582,0.18
143,0.16
98,0.52
1,0.30
221,0.51
352,0.18
64,0.07
138,0.26
745,0.35
64,0.07
688,0.05
623,0.07
289,0.18
174,0.34
690,0.18
105,0.17
427,0.10
48,0.00
14,0.18
657,0.03
301,0.12
455,0.09
579,0.24
722,0.09
98,0.52
491,0.00
303,0.35
466,0.40
65,0.48
300,0.53
9,0.01
622,0.06
323,0.05
289,0.18
568,0.38
290,0.18
156,0.07
464,0.09
426,0.05
306,0.23
4,0.32
12,0.40
187,0.26
406,0.05
96,0.28
509,0.29
733,0.11
548,0.04
478,0.24
501,0.11
127,0.55
199,0.19
299,0.45
162,0.18
235,0.08
23,0.14
473,0.18
487,0.02
683,0.50
303,0.35
309,0.02
569,0.01
34,0.45
686,0.71
84,0.27
733,0.11
537,0.56
181,0.14
453,0.79
67,0.42
161,0.41
307,0.27
703,0.10
181,0.14
246,0.07
316,0.40
278,0.06
346,0.14
545,0.18
419,0.23
694,0.28
622,0.06
663,0.03
262,0.71
461,0.19
373,0.89
233,0.18
466,0.40
207,0.16
263,0.18
16,0.01
513,0.03
449,0.32
429,0.02
701,0.29
632,0.02
529,0.66
245,0.31
344,0.11
353,0.08
241,0.29
633,0.03
624,0.29
726,0.63
189,0.06
138,0.26
402,0.04
511,0.45
590,0.48
334,0.14
447,0.04
119,0.40
389,0.28
644,0.18
423,0.32
131,0.01
405,0.00
82,0.18
643,0.91
156,0.07
617,0.04
574,0.51
272,0.21
613,0.04
545,0.18
685,0.04
570,0.17
537,0.56
691,0.03
85,0.45
483,0.07
455,0.09
93,0.06
744,0.29
33,0.07
321,0.76
523,0.22
426,0.05
196,0.06
301,0.12
103,0.03
224,0.03
454,0.07
585,0.02
154,0.32
