,Made Donation in March 2007
659,0.5
276,0.39
263,0.39
303,0.41
83,0.49
500,0.56
530,0.42
244,0.35
249,0.35
728,0.36
129,0.35
534,0.36
317,0.47
401,0.39
696,0.42
192,0.36
176,0.36
571,0.42
139,0.35
423,0.39
563,0.59
56,0.48
528,0.62
101,0.39
467,0.39
382,0.42
466,0.41
294,0.37
512,0.39
659,0.5
389,0.42
487,0.36
701,0.51
419,0.37
536,0.39
240,0.36
508,0.39
515,0.38
283,0.5
650,0.39
65,0.4
228,0.35
741,0.36
297,0.47
464,0.36
63,0.39
231,0.39
28,0.35
248,0.35
357,0.39
300,0.48
726,0.57
680,0.36
520,0.63
254,0.35
582,0.36
143,0.37
98,0.49
1,0.56
221,0.48
352,0.39
64,0.37
138,0.35
745,0.48
64,0.37
688,0.36
623,0.42
289,0.41
174,0.37
690,0.39
105,0.36
427,0.36
48,0.35
14,0.56
657,0.37
301,0.4
455,0.36
579,0.47
722,0.36
98,0.49
491,0.36
303,0.41
466,0.41
65,0.4
300,0.48
9,0.35
622,0.38
323,0.37
289,0.41
568,0.39
290,0.39
156,0.48
464,0.36
426,0.38
306,0.4
4,0.36
12,0.49
187,0.36
406,0.54
96,0.4
509,0.39
733,0.36
548,0.36
478,0.48
501,0.38
127,0.45
199,0.35
299,0.46
162,0.39
235,0.35
23,0.36
473,0.39
487,0.36
683,0.39
303,0.41
309,0.39
569,0.36
34,0.49
686,0.39
84,0.39
733,0.36
537,0.62
181,0.36
453,0.56
67,0.37
161,0.42
307,0.46
703,0.38
181,0.36
246,0.35
316,0.61
278,0.37
346,0.4
545,0.39
419,0.37
694,0.42
622,0.38
663,0.37
262,0.45
461,0.42
373,0.56
233,0.39
466,0.41
207,0.37
263,0.39
16,0.35
513,0.36
449,0.61
429,0.36
701,0.51
632,0.36
529,0.61
245,0.36
344,0.39
353,0.41
241,0.37
633,0.38
624,0.39
726,0.57
189,0.36
138,0.35
402,0.42
511,0.61
590,0.42
334,0.48
447,0.36
119,0.45
389,0.42
644,0.39
423,0.39
131,0.35
405,0.44
82,0.39
643,0.57
156,0.48
617,0.36
574,0.42
272,0.42
613,0.36
545,0.39
685,0.38
570,0.36
537,0.62
691,0.38
85,0.48
483,0.38
455,0.36
93,0.36
744,0.52
33,0.35
321,0.56
523,0.39
426,0.38
196,0.35
301,0.4
103,0.35
224,0.35
454,0.36
585,0.36
154,0.47
