,Made Donation in March 2007
659,0.49
276,0.32
263,0.32
303,0.35
83,0.49
500,0.65
530,0.42
244,0.25
249,0.25
728,0.26
129,0.25
534,0.27
317,0.44
401,0.32
696,0.38
192,0.31
176,0.26
571,0.38
139,0.25
423,0.31
563,0.69
56,0.41
528,0.62
101,0.32
467,0.30
382,0.36
466,0.33
294,0.27
512,0.30
659,0.49
389,0.36
487,0.29
701,0.52
419,0.27
536,0.30
240,0.26
508,0.30
515,0.29
283,0.43
650,0.32
65,0.35
228,0.25
741,0.26
297,0.55
464,0.26
63,0.32
231,0.30
28,0.25
248,0.25
357,0.32
300,0.46
726,0.62
680,0.26
520,0.65
254,0.25
582,0.27
143,0.27
98,0.50
1,0.61
221,0.47
352,0.32
64,0.39
138,0.25
745,0.47
64,0.39
688,0.26
623,0.38
289,0.35
174,0.30
690,0.32
105,0.26
427,0.26
48,0.25
14,0.61
657,0.33
301,0.36
455,0.26
579,0.44
722,0.26
98,0.50
491,0.26
303,0.35
466,0.33
65,0.35
300,0.46
9,0.30
622,0.30
323,0.27
289,0.35
568,0.31
290,0.32
156,0.46
464,0.26
426,0.29
306,0.31
4,0.28
12,0.42
187,0.29
406,0.59
96,0.35
509,0.32
733,0.26
548,0.26
478,0.47
501,0.29
127,0.38
199,0.25
299,0.55
162,0.32
235,0.25
23,0.28
473,0.32
487,0.29
683,0.31
303,0.35
309,0.29
569,0.26
34,0.60
686,0.31
84,0.30
733,0.26
537,0.62
181,0.26
453,0.61
67,0.27
161,0.36
307,0.50
703,0.28
181,0.26
246,0.25
316,0.64
278,0.30
346,0.30
545,0.32
419,0.27
694,0.42
622,0.30
663,0.33
262,0.45
461,0.36
373,0.61
233,0.32
466,0.33
207,0.27
263,0.32
16,0.30
513,0.26
449,0.64
429,0.26
701,0.52
632,0.26
529,0.61
245,0.29
344,0.32
353,0.33
241,0.30
633,0.30
624,0.32
726,0.62
189,0.31
138,0.25
402,0.37
511,0.63
590,0.40
334,0.46
447,0.26
119,0.38
389,0.36
644,0.32
423,0.31
131,0.25
405,0.34
82,0.32
643,0.62
156,0.46
617,0.26
574,0.45
272,0.36
613,0.26
545,0.32
685,0.28
570,0.27
537,0.62
691,0.28
85,0.47
483,0.29
455,0.26
93,0.31
744,0.54
33,0.25
321,0.61
523,0.30
426,0.29
196,0.25
301,0.36
103,0.25
224,0.25
454,0.27
585,0.26
154,0.45
