,Months since Last Donation,Number of Donations,Months since First Donation,Made Donation in March 2007
619,0.027027027,1,1,1
664,0,0.244897959,0.270833333,1
441,0.013513514,0.306122449,0.34375,1
160,0.027027027,0.387755102,0.447916667,1
358,0.013513514,0.469387755,0.78125,0
335,0.054054054,0.06122449,0.020833333,0
47,0.027027027,0.12244898,0.125,1
164,0.013513514,0.224489796,0.34375,0
736,0.067567568,0.918367347,1,1
436,0,0.040816327,0.020833333,0
460,0.027027027,0.183673469,0.270833333,1
285,0.013513514,0.244897959,0.46875,0
499,0.027027027,0.102040816,0.135416667,1
356,0.027027027,0.081632653,0.09375,1
40,0.027027027,0.265306122,0.479166667,1
191,0.027027027,0.285714286,0.489583333,1
638,0.027027027,0.102040816,0.135416667,1
345,0.027027027,0.040816327,0.020833333,1
463,0.027027027,0.040816327,0.020833333,1
372,0.054054054,0.204081633,0.270833333,0
8,0.027027027,0.102040816,0.145833333,1
539,0.027027027,0.102040816,0.145833333,1
734,0.054054054,0.265306122,0.395833333,0
573,0.054054054,0.102040816,0.125,0
482,0.054054054,0.142857143,0.197916667,0
330,0.013513514,0.265306122,0.583333333,0
222,0.054054054,0.183673469,0.270833333,1
175,0.054054054,0.183673469,0.270833333,1
606,0.027027027,0.306122449,0.645833333,0
340,0.027027027,0.142857143,0.270833333,1
298,0.027027027,0.224489796,0.46875,1
459,0.054054054,0.102040816,0.145833333,1
92,0.054054054,0.12244898,0.208333333,1
446,0.027027027,0.244897959,0.53125,1
336,0.027027027,0.081632653,0.145833333,0
403,0.027027027,0.081632653,0.145833333,1
286,0.027027027,0.081632653,0.145833333,0
665,0.054054054,0.387755102,0.697916667,1
134,0.054054054,0.163265306,0.270833333,1
646,0.027027027,0.163265306,0.354166667,0
391,0.027027027,0.020408163,0,0
471,0.027027027,0.020408163,0,0
377,0.027027027,0.020408163,0,0
712,0.027027027,0.204081633,0.458333333,0
721,0.027027027,0.204081633,0.458333333,1
654,0.027027027,0.102040816,0.208333333,0
332,0.054054054,0.081632653,0.125,1
740,0.054054054,0.367346939,0.697916667,1
612,0.054054054,0.142857143,0.25,1
502,0.027027027,0.12244898,0.270833333,1
479,0.040540541,0.102040816,0.197916667,0
444,0.027027027,0.142857143,0.34375,1
132,0.054054054,0.081632653,0.145833333,1
507,0.040540541,0.306122449,0.75,0
718,0.027027027,0.06122449,0.125,1
214,0,0.020408163,0.020833333,0
146,0.054054054,0.12244898,0.239583333,0
607,0.013513514,0.163265306,0.510416667,0
591,0.027027027,0.06122449,0.145833333,0
144,0.027027027,0.06122449,0.145833333,0
652,0.054054054,0.326530612,0.71875,1
45,0.027027027,0.020408163,0.020833333,0
395,0.027027027,0.020408163,0.020833333,1
369,0.027027027,0.020408163,0.020833333,1
490,0.027027027,0.06122449,0.145833333,1
66,0.027027027,0.020408163,0.020833333,0
448,0.027027027,0.020408163,0.020833333,0
380,0.027027027,0.06122449,0.145833333,0
328,0.027027027,0.06122449,0.145833333,0
485,0.027027027,0.06122449,0.145833333,0
630,0.027027027,0.102040816,0.270833333,1
5,0.027027027,0.102040816,0.270833333,0
546,0.054054054,0.020408163,0.020833333,0
54,0.054054054,0.020408163,0.020833333,0
445,0.027027027,0.12244898,0.34375,1
510,0.054054054,0.020408163,0.020833333,1
311,0.054054054,0.020408163,0.020833333,0
476,0.054054054,0.020408163,0.020833333,0
474,0.162162162,0.204081633,0.21875,0
527,0.040540541,0.326530612,0.875,0
506,0.054054054,0.163265306,0.375,1
424,0.054054054,0.142857143,0.333333333,1
155,0.054054054,0.163265306,0.395833333,0
94,0.027027027,0.081632653,0.25,0
719,0.081081081,0.326530612,0.708333333,0
676,0,0.142857143,0.59375,0
271,0.027027027,0.040816327,0.125,0
274,0.027027027,0.183673469,0.645833333,0
535,0.054054054,0.163265306,0.458333333,0
653,0.054054054,0.081632653,0.21875,0
493,0.054054054,0.142857143,0.395833333,1
279,0.027027027,0.224489796,0.833333333,0
564,0.148648649,0.469387755,0.645833333,0
656,0.027027027,0.12244898,0.458333333,1
386,0.054054054,0.204081633,0.614583333,0
182,0.013513514,0.12244898,0.572916667,0
212,0.027027027,0.204081633,0.802083333,1
667,0.027027027,0.040816327,0.145833333,1
308,0.054054054,0.081632653,0.25,1
421,0.027027027,0.102040816,0.40625,1
172,0.027027027,0.081632653,0.322916667,1
662,0.027027027,0.06122449,0.25,0
284,0.027027027,0.081632653,0.333333333,0
731,0.054054054,0.142857143,0.458333333,1
544,0.054054054,0.142857143,0.479166667,1
145,0.027027027,0.020408163,0.083333333,1
747,0.054054054,0.081632653,0.270833333,0
168,0.027027027,0.020408163,0.083333333,0
35,0.027027027,0.204081633,0.895833333,0
81,0.027027027,0.040816327,0.177083333,0
594,0.027027027,0.081632653,0.364583333,0
3,0.121621622,0.081632653,0.177083333,0
687,0.027027027,0.020408163,0.09375,0
29,0.027027027,0.163265306,0.75,0
151,0.054054054,0.040816327,0.145833333,0
213,0.054054054,0.040816327,0.145833333,0
135,0.054054054,0.020408163,0.072916667,1
472,0.081081081,0.040816327,0.125,0
51,0.027027027,0.020408163,0.09375,0
705,0.027027027,0.020408163,0.09375,1
651,0.027027027,0.020408163,0.09375,0
556,0.027027027,0.12244898,0.583333333,1
79,0.027027027,0,0,1
477,0.027027027,0,0,0
90,0.027027027,0,0,0
341,0.027027027,0,0,0
456,0.027027027,0,0,0
692,0.027027027,0,0,0
275,0.027027027,0,0,0
227,0.027027027,0,0,0
550,0.027027027,0,0,1
247,0.027027027,0,0,1
293,0.027027027,0,0,1
587,0.027027027,0,0,0
291,0.027027027,0,0,0
392,0.027027027,0,0,0
220,0.027027027,0,0,0
410,0.027027027,0,0,0
88,0.027027027,0,0,0
589,0.027027027,0,0,0
61,0.027027027,0,0,0
359,0.148648649,0.183673469,0.34375,0
671,0.148648649,0.06122449,0.145833333,1
399,0.054054054,0.102040816,0.40625,1
631,0.027027027,0.040816327,0.208333333,0
432,0.054054054,0.06122449,0.25,1
565,0.135135135,0.06122449,0.145833333,0
618,0.027027027,0.06122449,0.34375,0
586,0.054054054,0.224489796,0.895833333,0
59,0.175675676,0.142857143,0.25,0
725,0.054054054,0.081632653,0.333333333,0
367,0.054054054,0.081632653,0.34375,1
605,0.054054054,0.12244898,0.520833333,0
296,0.054054054,0.12244898,0.520833333,0
238,0.027027027,0.020408163,0.125,0
655,0.027027027,0.081632653,0.46875,1
314,0.121621622,0.142857143,0.375,1
609,0.054054054,0.102040816,0.46875,0
113,0.121621622,0.163265306,0.447916667,0
596,0.054054054,0.102040816,0.520833333,0
242,0.054054054,0.12244898,0.583333333,0
6,0.081081081,0.020408163,0.09375,1
533,0.148648649,0.163265306,0.375,0
19,0.027027027,0.020408163,0.145833333,0
434,0.027027027,0.12244898,0.770833333,0
553,0.148648649,0.102040816,0.260416667,0
517,0.148648649,0.040816327,0.125,0
239,0.054054054,0,0.020833333,0
689,0.054054054,0,0.020833333,0
562,0.054054054,0,0.020833333,0
111,0.054054054,0,0.020833333,1
580,0.054054054,0,0.020833333,0
379,0.054054054,0,0.020833333,0
684,0.054054054,0,0.020833333,0
252,0.054054054,0,0.020833333,0
415,0.054054054,0,0.020833333,1
282,0.054054054,0,0.020833333,0
746,0.054054054,0.040816327,0.229166667,0
217,0.054054054,0,0.020833333,0
150,0.054054054,0,0.020833333,0
540,0.054054054,0,0.020833333,0
709,0.135135135,0.142857143,0.385416667,0
31,0.189189189,0.12244898,0.25,0
615,0.108108108,0.183673469,0.635416667,0
494,0.054054054,0.020408163,0.125,0
195,0.027027027,0.06122449,0.427083333,0
717,0.108108108,0.163265306,0.583333333,0
62,0.108108108,0.142857143,0.520833333,1
649,0.148648649,0.428571429,1,0
264,0.054054054,0.040816327,0.239583333,1
414,0.148648649,0.326530612,0.802083333,1
706,0.121621622,0.020408163,0.09375,0
693,0.054054054,0.081632653,0.458333333,0
219,0.094594595,0.224489796,0.875,0
555,0.148648649,0.020408163,0.09375,0
452,0.148648649,0.020408163,0.09375,0
519,0.027027027,0.102040816,0.760416667,0
400,0.148648649,0.142857143,0.40625,1
70,0.148648649,0.040816327,0.145833333,1
669,0.162162162,0.244897959,0.59375,0
115,0.027027027,0.040816327,0.34375,0
256,0.216216216,0.142857143,0.270833333,0
269,0.148648649,0.12244898,0.364583333,0
620,0.054054054,0.040816327,0.270833333,0
205,0.162162162,0.224489796,0.583333333,0
578,0.054054054,0.06122449,0.40625,0
257,0.148648649,0.265306122,0.739583333,1
498,0.054054054,0.081632653,0.583333333,0
38,0.054054054,0.06122449,0.427083333,1
268,0.040540541,0.020408163,0.21875,0
707,0.148648649,0.142857143,0.458333333,0
71,0.054054054,0.12244898,0.833333333,0
702,0.175675676,0.06122449,0.197916667,0
480,0.216216216,0.12244898,0.270833333,0
11,0.094594595,0.020408163,0.145833333,0
215,0.054054054,0.081632653,0.583333333,0
670,0.054054054,0.081632653,0.583333333,0
120,0.054054054,0.06122449,0.458333333,0
465,0.189189189,0.244897959,0.572916667,0
385,0.054054054,0.040816327,0.333333333,0
457,0.189189189,0.346938776,0.791666667,0
36,0.148648649,0.142857143,0.479166667,0
76,0.189189189,0.306122449,0.708333333,0
647,0.189189189,0.06122449,0.208333333,1
44,0.189189189,0.081632653,0.25,0
678,0.108108108,0.020408163,0.145833333,0
43,0.148648649,0.020408163,0.125,0
598,0.054054054,0.020408163,0.21875,0
616,0.189189189,0.040816327,0.177083333,1
634,0.216216216,0.224489796,0.5,0
727,0.148648649,0.06122449,0.270833333,0
102,0.148648649,0.081632653,0.34375,0
304,0.027027027,0.06122449,0.708333333,0
133,0.189189189,0.081632653,0.270833333,0
567,0.189189189,0.020408163,0.125,0
362,0.189189189,0.020408163,0.125,0
114,0.189189189,0.020408163,0.125,0
575,0.189189189,0.102040816,0.333333333,0
394,0.148648649,0.081632653,0.364583333,1
549,0.054054054,0.081632653,0.75,0
384,0.148648649,0.040816327,0.21875,0
17,0.148648649,0.081632653,0.375,0
121,0.162162162,0.163265306,0.604166667,0
72,0.121621622,0,0.072916667,0
581,0.121621622,0,0.072916667,0
261,0.054054054,0.020408163,0.28125,0
216,0.148648649,0.020408163,0.15625,0
153,0.189189189,0.06122449,0.25,0
626,0.148648649,0.163265306,0.729166667,1
658,0.148648649,0.081632653,0.40625,0
458,0.121621622,0.081632653,0.510416667,1
324,0.189189189,0.142857143,0.5,1
253,0.216216216,0.12244898,0.375,0
186,0.189189189,0.020408163,0.145833333,0
171,0.189189189,0.306122449,1,0
260,0.189189189,0.06122449,0.270833333,1
21,0.216216216,0.12244898,0.385416667,0
32,0.189189189,0.12244898,0.46875,0
20,0.216216216,0.102040816,0.34375,1
413,0.148648649,0.040816327,0.270833333,0
128,0.148648649,0,0.09375,1
142,0.121621622,0.040816327,0.333333333,0
185,0.189189189,0.06122449,0.291666667,0
451,0.310810811,0.755102041,1,0
469,0.148648649,0,0.09375,0
77,0.148648649,0,0.09375,0
159,0.148648649,0,0.09375,0
152,0.148648649,0,0.09375,0
551,0.148648649,0,0.09375,0
584,0.148648649,0.020408163,0.197916667,0
488,0.148648649,0.081632653,0.5,0
26,0.148648649,0.020408163,0.197916667,0
349,0.216216216,0.06122449,0.270833333,0
723,0.189189189,0.040816327,0.25,0
735,0.121621622,0.020408163,0.25,0
572,0.189189189,0.102040816,0.510416667,0
711,0.148648649,0.020408163,0.229166667,0
668,0.054054054,0.040816327,0.71875,0
194,0.283783784,0.244897959,0.572916667,0
201,0.148648649,0.102040816,0.71875,0
390,0.189189189,0.020408163,0.197916667,1
325,0.310810811,0.285714286,0.572916667,0
326,0.189189189,0.06122449,0.375,0
137,0.148648649,0.020408163,0.25,0
608,0.216216216,0.081632653,0.395833333,1
318,0.054054054,0.020408163,0.510416667,1
714,0.189189189,0.06122449,0.395833333,0
73,0.148648649,0.040816327,0.395833333,1
679,0.189189189,0.081632653,0.5,0
25,0.189189189,0,0.125,0
