,Months since Last Donation,Number of Donations,Months since First Donation
659,0.05,0.275,0.520833333
276,0.525,0.15,0.375
263,0.1,0,0.020833333
303,0.275,0.25,0.375
83,0.1,0.275,0.333333333
500,0.075,0.5,0.416666667
530,0.1,0.025,0.020833333
244,0.35,0,0.125
249,0.575,0.025,0.885416667
728,0.35,0.075,0.645833333
129,0.325,0.05,0.145833333
534,0.275,0.15,0.625
317,0.125,0.25,0.760416667
401,0.1,0,0.020833333
696,0.1,0.075,0.25
192,0.275,0,0.09375
176,0.275,0.125,0.25
571,0.175,0.325,0.479166667
139,0.575,0.325,0.947916667
423,0.075,0.075,0.28125
563,0.05,0.15,0.28125
56,0.1,0.125,0.34375
528,0.125,0.15,0.25
101,0.1,0,0.020833333
467,0.05,0.05,0.375
382,0.125,0.325,0.875
466,0.05,0.025,0.09375
294,0.35,0,0.125
512,0.1,0.05,0.145833333
659,0.05,0.275,0.520833333
389,0.1,0.325,0.875
487,0.575,0.15,0.895833333
701,0.05,0,0
419,0.1,0.15,0.583333333
536,0.1,0.025,0.40625
240,0.275,0.15,0.28125
508,0.05,0.025,0.40625
515,0.35,0,0.125
283,0.1,0.125,0.270833333
650,0.1,0,0.020833333
65,0.05,0.025,0.020833333
228,0.4,0.125,0.34375
741,0.4,0.125,0.822916667
297,0.05,0.1,0.25
464,0.35,0.05,0.302083333
63,0.05,0,0
231,0.1,0.075,0.125
28,0.35,0.05,0.34375
248,0.35,0,0.125
357,0.35,0.1,0.270833333
300,0.05,0.325,0.572916667
726,0.125,0.575,0.802083333
680,0.35,0.075,0.21875
520,0.1,0.125,0.385416667
254,0.575,0.025,0.375
582,0.275,0.175,0.520833333
143,0.05,0.15,0.78125
98,0.1,0.1,0.09375
1,0.05,0.075,0.34375
221,0.05,0.35,0.645833333
352,0.1,0,0.020833333
64,0.275,0.025,0.375
138,0.3,0.35,0.71875
745,0.05,0.3,0.770833333
64,0.275,0.025,0.375
688,0.4,0.025,0.260416667
623,0.225,0.075,0.65625
289,0.525,0.375,0.645833333
174,0.175,0.225,0.46875
690,0.1,0,0.020833333
105,0.275,0.1,0.34375
427,0.4,0.075,0.21875
48,0.95,0,0.375
14,0.1,0,0.020833333
657,0.575,0.075,0.520833333
301,0.275,0.15,0.645833333
455,0.35,0.05,0.270833333
579,0.1,0.25,0.791666667
722,0.4,0.075,0.322916667
98,0.1,0.1,0.09375
491,0.95,0,0.375
303,0.275,0.25,0.375
466,0.05,0.025,0.09375
65,0.05,0.025,0.020833333
300,0.05,0.325,0.572916667
9,0.525,0,0.197916667
622,0.275,0,0.09375
323,0.4,0.025,0.25
289,0.525,0.375,0.645833333
568,0.05,0.075,0.25
290,0.1,0,0.020833333
156,0.1,0.025,0.520833333
464,0.35,0.05,0.302083333
426,0.4,0.025,0.145833333
306,0.4,0.25,0.395833333
4,0.275,0.25,0.416666667
12,0.1,0.1,0.21875
187,0.275,0.275,0.583333333
406,0.575,0.175,0.645833333
96,0.1,0.025,0.020833333
509,0.05,0,0
733,0.275,0.125,0.583333333
548,0.525,0.05,0.34375
478,0.175,0.1,0.34375
501,0.275,0.025,0.145833333
127,0.05,0.075,0.09375
199,0.375,0.375,0.833333333
299,0.05,0.225,0.489583333
162,0.1,0,0.020833333
235,0.4,0.05,0.197916667
23,0.225,0.025,0.145833333
473,0.1,0,0.020833333
487,0.575,0.15,0.895833333
683,0.1,0.175,0.270833333
303,0.275,0.25,0.375
309,0.575,0.05,0.479166667
569,0.575,0,0.21875
34,0.1,0.15,0.270833333
686,0.1,0.375,0.375
84,0.05,0.025,0.21875
733,0.275,0.125,0.583333333
537,0.1,0.2,0.25
181,0.275,0.075,0.333333333
453,0,0.625,0.770833333
67,0.05,0.225,0.520833333
161,0.05,0.375,0.822916667
307,0.1,0.125,0.458333333
703,0.275,0.025,0.09375
181,0.275,0.075,0.333333333
246,0.35,0.025,0.125
316,0.075,0.1,0.25
278,0.275,0,0.09375
346,0.275,0.05,0.135416667
545,0.1,0,0.020833333
419,0.1,0.15,0.583333333
694,0.1,0.025,0.020833333
622,0.275,0,0.09375
663,0.275,0.05,0.770833333
262,0.05,0.3,0.3125
461,0.05,0.275,1
373,0.05,0.825,0.78125
233,0.1,0,0.020833333
466,0.05,0.025,0.09375
207,0.05,0.15,0.78125
263,0.1,0,0.020833333
16,0.575,0,0.21875
513,0.575,0.05,0.34375
449,0.1,0.1,0.322916667
429,0.575,0.05,0.625
701,0.05,0,0
632,0.525,0.025,0.40625
529,0.05,0.2,0.208333333
245,0.275,0.2,0.322916667
344,0.4,0.125,0.395833333
353,0.4,0.05,0.177083333
241,0.2,0.35,0.78125
633,0.4,0,0.145833333
624,0.05,0,0
726,0.125,0.575,0.802083333
189,0.275,0,0.09375
138,0.3,0.35,0.71875
402,0.35,0,0.125
511,0.1,0.125,0.21875
590,0.225,0.2,0.145833333
334,0.05,0.05,0.520833333
447,0.4,0.05,0.5
119,0.05,0.025,0.09375
389,0.1,0.325,0.875
644,0.1,0,0.020833333
423,0.075,0.075,0.28125
131,0.575,0,0.21875
405,1,0,0.395833333
82,0.1,0,0.020833333
643,0.05,1,1
156,0.1,0.025,0.520833333
617,0.525,0.05,0.375
574,0.05,0.05,0.072916667
272,0.05,0.275,0.96875
