,Made Donation in March 2007
659,0.58
276,0.16
263,0.16
303,0.52
83,0.76
500,0.95
530,0.34
244,0.09
249,0.10
728,0.11
129,0.14
534,0.17
317,0.26
401,0.16
696,0.39
192,0.09
176,0.33
571,0.64
139,0.11
423,0.39
563,0.58
56,0.41
528,0.55
101,0.16
467,0.33
382,0.28
466,0.46
294,0.09
512,0.41
659,0.58
389,0.29
487,0.05
701,0.33
419,0.26
536,0.31
240,0.36
508,0.34
515,0.09
283,0.48
650,0.16
65,0.60
228,0.20
741,0.07
297,0.50
464,0.16
63,0.33
231,0.51
28,0.16
248,0.09
357,0.21
300,0.62
726,0.78
680,0.18
520,0.37
254,0.09
582,0.25
143,0.17
98,0.67
1,0.37
221,0.59
352,0.16
64,0.20
138,0.37
745,0.37
64,0.20
688,0.13
623,0.14
289,0.36
174,0.44
690,0.16
105,0.24
427,0.15
48,0.06
14,0.16
657,0.08
301,0.16
455,0.16
579,0.25
722,0.15
98,0.67
491,0.06
303,0.52
466,0.46
65,0.60
300,0.62
9,0.07
622,0.09
323,0.12
289,0.36
568,0.44
290,0.16
156,0.29
464,0.16
426,0.08
306,0.40
4,0.47
12,0.48
187,0.37
406,0.10
96,0.34
509,0.33
733,0.17
548,0.09
478,0.31
501,0.15
127,0.66
199,0.28
299,0.51
162,0.16
235,0.12
23,0.20
473,0.16
487,0.05
683,0.61
303,0.52
309,0.08
569,0.07
34,0.55
686,0.87
84,0.40
733,0.17
537,0.70
181,0.21
453,0.89
67,0.47
161,0.45
307,0.32
703,0.11
181,0.21
246,0.09
316,0.47
278,0.09
346,0.18
545,0.16
419,0.26
694,0.34
622,0.09
663,0.12
262,0.85
461,0.17
373,0.97
233,0.16
466,0.46
207,0.17
263,0.16
16,0.07
513,0.08
449,0.38
429,0.07
701,0.33
632,0.11
529,0.80
245,0.45
344,0.18
353,0.11
241,0.37
633,0.08
624,0.33
726,0.78
189,0.09
138,0.37
402,0.09
511,0.55
590,0.73
334,0.26
447,0.12
119,0.46
389,0.29
644,0.16
423,0.39
131,0.07
405,0.06
82,0.16
643,0.98
156,0.29
617,0.09
574,0.60
272,0.19
613,0.20
545,0.16
685,0.09
570,0.25
537,0.70
691,0.08
85,0.54
483,0.09
455,0.16
93,0.09
744,0.33
33,0.09
321,0.90
523,0.30
426,0.08
196,0.16
301,0.16
103,0.08
224,0.07
454,0.14
585,0.07
154,0.37
