,Made Donation in March 2007
659,0.81
276,0.37
263,0.38
303,0.77
83,0.91
500,0.98
530,0.62
244,0.23
249,0.26
728,0.28
129,0.35
534,0.39
317,0.53
401,0.38
696,0.67
192,0.25
176,0.61
571,0.85
139,0.28
423,0.67
563,0.82
56,0.69
528,0.79
101,0.38
467,0.61
382,0.56
466,0.73
294,0.23
512,0.69
659,0.81
389,0.57
487,0.14
701,0.61
419,0.53
536,0.59
240,0.65
508,0.62
515,0.23
283,0.75
650,0.38
65,0.83
228,0.44
741,0.20
297,0.76
464,0.37
63,0.61
231,0.77
28,0.37
248,0.23
357,0.46
300,0.84
726,0.92
680,0.41
520,0.65
254,0.23
582,0.51
143,0.40
98,0.86
1,0.65
221,0.82
352,0.38
64,0.45
138,0.65
745,0.65
64,0.45
688,0.31
623,0.34
289,0.64
174,0.71
690,0.38
105,0.50
427,0.35
48,0.17
14,0.38
657,0.21
301,0.38
455,0.37
579,0.52
722,0.36
98,0.86
491,0.17
303,0.77
466,0.73
65,0.83
300,0.84
9,0.20
622,0.25
323,0.31
289,0.64
568,0.71
290,0.38
156,0.56
464,0.37
426,0.21
306,0.68
4,0.74
12,0.74
187,0.65
406,0.26
96,0.62
509,0.61
733,0.39
548,0.24
478,0.58
501,0.37
127,0.86
199,0.56
299,0.77
162,0.38
235,0.30
23,0.44
473,0.38
487,0.14
683,0.83
303,0.77
309,0.22
569,0.20
34,0.79
686,0.95
84,0.67
733,0.39
537,0.88
181,0.46
453,0.96
67,0.74
161,0.72
307,0.60
703,0.28
181,0.46
246,0.23
316,0.74
278,0.25
346,0.41
545,0.38
419,0.53
694,0.62
622,0.25
663,0.30
262,0.95
461,0.40
373,0.99
233,0.38
466,0.73
207,0.40
263,0.38
16,0.20
513,0.21
449,0.66
429,0.20
701,0.61
632,0.27
529,0.93
245,0.72
344,0.41
353,0.28
241,0.65
633,0.22
624,0.61
726,0.92
189,0.25
138,0.65
402,0.23
511,0.79
590,0.89
334,0.53
447,0.31
119,0.73
389,0.57
644,0.38
423,0.67
131,0.20
405,0.17
82,0.38
643,0.99
156,0.56
617,0.24
574,0.83
272,0.42
613,0.44
545,0.38
685,0.23
570,0.51
537,0.88
691,0.22
85,0.79
483,0.23
455,0.37
93,0.25
744,0.61
33,0.23
321,0.97
523,0.58
426,0.21
196,0.37
301,0.38
103,0.22
224,0.18
454,0.35
585,0.19
154,0.65
