,Made Donation in March 2007
659,0.41
276,0.14
263,0.21
303,0.35
83,0.49
500,0.58
530,0.35
244,-0.01
249,-0.17
728,0.10
129,0.16
534,0.20
317,0.27
401,0.21
696,0.37
192,0.04
176,0.30
571,0.39
139,0.06
423,0.38
563,0.46
56,0.38
528,0.43
101,0.21
467,0.32
382,0.26
466,0.43
294,-0.01
512,0.39
659,0.41
389,0.27
487,0.00
701,0.37
419,0.29
536,0.23
240,0.31
508,0.26
515,-0.01
283,0.41
650,0.21
65,0.53
228,0.20
741,0.07
297,0.44
464,0.16
63,0.37
231,0.44
28,0.15
248,-0.01
357,0.22
300,0.41
726,0.37
680,0.19
520,0.36
254,-0.03
582,0.25
143,0.24
98,0.52
1,0.36
221,0.39
352,0.21
64,0.15
138,0.25
745,0.31
64,0.15
688,0.08
623,0.15
289,0.19
174,0.35
690,0.21
105,0.25
427,0.15
48,-0.34
14,0.21
657,0.03
301,0.19
455,0.16
579,0.27
722,0.15
98,0.52
491,-0.34
303,0.35
466,0.43
65,0.53
300,0.41
9,-0.11
622,0.04
323,0.08
289,0.19
568,0.41
290,0.21
156,0.18
464,0.16
426,0.03
306,0.27
4,0.33
12,0.42
187,0.28
406,0.08
96,0.35
509,0.37
733,0.20
548,0.05
478,0.31
501,0.16
127,0.54
199,0.19
299,0.40
162,0.21
235,0.11
23,0.21
473,0.21
487,0.00
683,0.46
303,0.35
309,0.01
569,-0.14
34,0.44
686,0.52
84,0.35
733,0.20
537,0.49
181,0.23
453,0.45
67,0.38
161,0.32
307,0.33
703,0.11
181,0.23
246,0.06
316,0.42
278,0.04
346,0.20
545,0.21
419,0.29
694,0.35
622,0.04
663,0.06
262,0.56
461,0.22
373,0.49
233,0.21
466,0.43
207,0.24
263,0.21
16,-0.14
513,0.02
449,0.36
429,-0.02
701,0.37
632,0.00
529,0.57
245,0.33
344,0.19
353,0.10
241,0.27
633,-0.04
624,0.37
726,0.37
189,0.04
138,0.25
402,-0.01
511,0.44
590,0.47
334,0.25
447,0.09
119,0.43
389,0.27
644,0.21
423,0.38
131,-0.14
405,-0.37
82,0.21
643,0.43
156,0.18
617,0.05
574,0.51
272,0.23
613,0.09
545,0.21
685,-0.01
570,0.26
537,0.49
691,-0.04
85,0.35
483,0.06
455,0.16
93,0.04
744,0.37
33,0.06
321,0.48
523,0.31
426,0.03
196,0.12
301,0.19
103,-0.04
224,-0.02
454,0.12
585,-0.04
154,0.32
