,Made Donation in March 2007
659,0.45
276,0.11
263,0.19
303,0.35
83,0.55
500,0.71
530,0.31
244,0.01
249,-0.09
728,0.07
129,0.13
534,0.16
317,0.25
401,0.19
696,0.35
192,0.05
176,0.26
571,0.44
139,0.06
423,0.35
563,0.48
56,0.36
528,0.43
101,0.19
467,0.27
382,0.26
466,0.41
294,0.01
512,0.37
659,0.45
389,0.27
487,0.01
701,0.33
419,0.26
536,0.17
240,0.28
508,0.19
515,0.01
283,0.41
650,0.19
65,0.50
228,0.16
741,0.06
297,0.43
464,0.12
63,0.33
231,0.43
28,0.11
248,0.01
357,0.18
300,0.47
726,0.50
680,0.16
520,0.34
254,0.00
582,0.21
143,0.20
98,0.52
1,0.33
221,0.45
352,0.19
64,0.10
138,0.25
745,0.33
64,0.10
688,0.07
623,0.11
289,0.18
174,0.35
690,0.19
105,0.21
427,0.12
48,-0.17
14,0.19
657,0.03
301,0.15
455,0.12
579,0.25
722,0.12
98,0.52
491,-0.17
303,0.35
466,0.41
65,0.50
300,0.47
9,-0.05
622,0.05
323,0.07
289,0.18
568,0.39
290,0.19
156,0.12
464,0.12
426,0.04
306,0.25
4,0.33
12,0.41
187,0.27
406,0.06
96,0.31
509,0.33
733,0.15
548,0.04
478,0.27
501,0.13
127,0.55
199,0.19
299,0.42
162,0.19
235,0.09
23,0.18
473,0.19
487,0.01
683,0.48
303,0.35
309,0.02
569,-0.06
34,0.44
686,0.62
84,0.31
733,0.15
537,0.53
181,0.18
453,0.62
67,0.40
161,0.37
307,0.30
703,0.10
181,0.18
246,0.06
316,0.41
278,0.05
346,0.17
545,0.19
419,0.26
694,0.31
622,0.05
663,0.04
262,0.63
461,0.21
373,0.69
233,0.19
466,0.41
207,0.20
263,0.19
16,-0.06
513,0.02
449,0.34
429,0.00
701,0.33
632,0.01
529,0.62
245,0.32
344,0.15
353,0.09
241,0.28
633,-0.01
624,0.33
726,0.50
189,0.05
138,0.25
402,0.01
511,0.45
590,0.48
334,0.19
447,0.07
119,0.41
389,0.27
644,0.19
423,0.35
131,-0.06
405,-0.18
82,0.19
643,0.67
156,0.12
617,0.04
574,0.51
272,0.22
613,0.06
545,0.19
685,0.01
570,0.21
537,0.53
691,-0.01
85,0.40
483,0.06
455,0.12
93,0.05
744,0.33
33,0.06
321,0.62
523,0.26
426,0.04
196,0.09
301,0.15
103,-0.01
224,0.00
454,0.09
585,-0.01
154,0.32
