,Made Donation in March 2007
659,0.47
276,0.14
263,0.20
303,0.39
83,0.58
500,0.77
530,0.33
244,0.04
249,-0.02
728,0.09
129,0.15
534,0.18
317,0.27
401,0.20
696,0.36
192,0.07
176,0.29
571,0.48
139,0.09
423,0.36
563,0.49
56,0.37
528,0.45
101,0.20
467,0.29
382,0.28
466,0.42
294,0.04
512,0.38
659,0.47
389,0.29
487,0.01
701,0.34
419,0.27
536,0.23
240,0.31
508,0.25
515,0.04
283,0.42
650,0.20
65,0.51
228,0.19
741,0.06
297,0.44
464,0.15
63,0.34
231,0.44
28,0.14
248,0.04
357,0.20
300,0.49
726,0.55
680,0.18
520,0.35
254,0.03
582,0.24
143,0.21
98,0.53
1,0.34
221,0.47
352,0.20
64,0.15
138,0.29
745,0.35
64,0.15
688,0.10
623,0.13
289,0.25
174,0.37
690,0.20
105,0.23
427,0.14
48,-0.10
14,0.20
657,0.04
301,0.17
455,0.15
579,0.26
722,0.14
98,0.53
491,-0.10
303,0.39
466,0.42
65,0.51
300,0.49
9,-0.01
622,0.07
323,0.10
289,0.25
568,0.40
290,0.20
156,0.19
464,0.15
426,0.05
306,0.30
4,0.37
12,0.42
187,0.30
406,0.08
96,0.33
509,0.34
733,0.17
548,0.06
478,0.29
501,0.15
127,0.55
199,0.23
299,0.44
162,0.20
235,0.11
23,0.20
473,0.20
487,0.01
683,0.49
303,0.39
309,0.04
569,-0.02
34,0.46
686,0.66
84,0.34
733,0.17
537,0.55
181,0.21
453,0.67
67,0.42
161,0.39
307,0.31
703,0.11
181,0.21
246,0.07
316,0.42
278,0.07
346,0.19
545,0.20
419,0.27
694,0.33
622,0.07
663,0.08
262,0.66
461,0.21
373,0.80
233,0.20
466,0.42
207,0.21
263,0.20
16,-0.02
513,0.04
449,0.35
429,0.02
701,0.34
632,0.05
529,0.64
245,0.36
344,0.17
353,0.10
241,0.31
633,0.02
624,0.34
726,0.55
189,0.07
138,0.29
402,0.04
511,0.46
590,0.52
334,0.23
447,0.10
119,0.42
389,0.29
644,0.20
423,0.36
131,-0.02
405,-0.11
82,0.20
643,0.80
156,0.19
617,0.06
574,0.51
272,0.22
613,0.12
545,0.20
685,0.04
570,0.24
537,0.55
691,0.02
85,0.43
483,0.07
455,0.15
93,0.07
744,0.34
33,0.07
321,0.68
523,0.28
426,0.05
196,0.12
301,0.17
103,0.02
224,0.02
454,0.12
585,0.01
154,0.34
