,Made Donation in March 2007
659,0.48
276,0.13
263,0.21
303,0.38
83,0.58
500,0.77
530,0.37
244,0.01
249,-0.10
728,0.07
129,0.14
534,0.17
317,0.28
401,0.21
696,0.33
192,0.05
176,0.28
571,0.47
139,0.11
423,0.33
563,0.48
56,0.36
528,0.44
101,0.21
467,0.24
382,0.29
466,0.39
294,0.01
512,0.35
659,0.48
389,0.31
487,0.03
701,0.38
419,0.26
536,0.14
240,0.30
508,0.16
515,0.01
283,0.41
650,0.21
65,0.54
228,0.17
741,0.07
297,0.43
464,0.11
63,0.38
231,0.44
28,0.10
248,0.01
357,0.19
300,0.50
726,0.56
680,0.16
520,0.33
254,-0.02
582,0.23
143,0.21
98,0.55
1,0.31
221,0.48
352,0.21
64,0.08
138,0.29
745,0.36
64,0.08
688,0.06
623,0.10
289,0.23
174,0.36
690,0.21
105,0.21
427,0.13
48,-0.18
14,0.21
657,0.03
301,0.16
455,0.12
579,0.27
722,0.12
98,0.55
491,-0.18
303,0.38
466,0.39
65,0.54
300,0.50
9,-0.06
622,0.05
323,0.06
289,0.23
568,0.38
290,0.21
156,0.09
464,0.11
426,0.05
306,0.28
4,0.35
12,0.40
187,0.30
406,0.08
96,0.37
509,0.38
733,0.16
548,0.04
478,0.27
501,0.13
127,0.55
199,0.23
299,0.44
162,0.21
235,0.10
23,0.17
473,0.21
487,0.03
683,0.49
303,0.38
309,0.01
569,-0.07
34,0.45
686,0.67
84,0.28
733,0.16
537,0.55
181,0.18
453,0.69
67,0.42
161,0.41
307,0.29
703,0.12
181,0.18
246,0.07
316,0.40
278,0.05
346,0.18
545,0.21
419,0.26
694,0.37
622,0.05
663,0.03
262,0.67
461,0.24
373,0.79
233,0.21
466,0.39
207,0.21
263,0.21
16,-0.07
513,0.02
449,0.33
429,-0.01
701,0.38
632,0.00
529,0.64
245,0.34
344,0.16
353,0.10
241,0.32
633,-0.01
624,0.38
726,0.56
189,0.05
138,0.29
402,0.01
511,0.45
590,0.54
334,0.17
447,0.05
119,0.39
389,0.31
644,0.21
423,0.33
131,-0.07
405,-0.20
82,0.21
643,0.79
156,0.09
617,0.04
574,0.51
272,0.25
613,0.04
545,0.21
685,0.01
570,0.21
537,0.55
691,-0.01
85,0.44
483,0.07
455,0.12
93,0.05
744,0.38
33,0.07
321,0.68
523,0.24
426,0.05
196,0.07
301,0.16
103,-0.01
224,0.00
454,0.12
585,-0.01
154,0.34
