"","IIdx","Rank","Dist","NIdx","NID","MSLD","ND","TVD","MSFD","Donated"
"1",0,0,0,0,0,0,0,0,0,0
"2",1,1,0.171226866312047,45,721,-1.109636079,-1.213548964,-1.213548964,0.646449775,1
"3",1,2,0.171226866312047,44,712,-1.109636079,-1.213548964,-1.213548964,0.646449775,0
"4",1,3,0.223410053163624,31,298,-1.109636079,-1.300118066,-1.300118066,0.6781243,1
"5",1,4,0.308561743183379,402,641,-1.109636079,-1.213548964,-1.213548964,0.481527201,1
"6",1,5,0.320427799020062,34,446,-1.109636079,-1.379091478,-1.379091478,0.860175521,1
"7",2,1,0.329527917051951,550,338,1.487729835,-0.589133831,-0.589133831,0.614359355,0
"8",2,2,0.406704598356471,548,118,1.348487,-0.589133831,-0.589133831,0.709397,0
"9",2,3,0.42582767439748,310,193,1.487729835,-0.393788889,-0.393788889,0.190349155,0
"10",2,4,0.451431379936026,253,253,0.956547268,-0.751539609,-0.751539609,0.376708903,0
"11",2,5,0.452485384275791,259,20,0.956547268,-0.589133831,-0.589133831,0.266799003,1
"12",3,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"13",3,2,0.150554890989817,179,217,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"14",3,3,0.150554890989817,175,252,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"15",3,4,0.150554890989817,469,417,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"16",3,5,0.150554890989817,168,239,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"17",4,1,0.0630810607942815,142,359,0.471473252,-1.117854791,-1.117854791,0.266799003,0
"18",4,2,0.136357816237655,163,533,0.471473252,-1.01100296,-1.01100296,0.376708903,0
"19",4,3,0.221815371988915,461,270,0.578782997,-1.213548964,-1.213548964,0.412182818,0
"20",4,4,0.260043932996306,443,351,0.235528465,-1.01100296,-1.01100296,0.376708903,0
"21",4,5,0.324210756989771,182,709,0.357442558,-0.890212447,-0.890212447,0.412182818,0
"22",5,1,0.180044650548538,399,495,-0.810535068,-1.117854791,-1.117854791,0.190349155,1
"23",5,2,0.214000667210717,20,372,-0.572448496,-1.213548964,-1.213548964,-0.013839696,0
"24",5,3,0.225410392637222,400,280,-0.572448496,-1.117854791,-1.117854791,-0.013839696,1
"25",5,4,0.225410392637222,28,175,-0.572448496,-1.117854791,-1.117854791,-0.013839696,1
"26",5,5,0.225410392637222,27,222,-0.572448496,-1.117854791,-1.117854791,-0.013839696,1
"27",6,1,0.305283634372598,4,160,-1.109636079,-1.793432165,-1.793432165,0.614359355,1
"28",6,2,0.383457683538762,395,407,-0.810535068,-1.451648015,-1.451648015,0.266799003,0
"29",6,3,0.414549379009092,16,191,-1.109636079,-1.518714928,-1.518714928,0.740281188,1
"30",6,4,0.454764135754279,15,40,-1.109636079,-1.451648015,-1.451648015,0.709397,1
"31",6,5,0.461703016267817,23,734,-0.572448496,-1.451648015,-1.451648015,0.447115082,0
"32",7,1,0.0882806146283381,74,54,-0.572448496,0.643738116,0.643738116,-1.639570526,0
"33",7,2,0.0882806146283381,78,476,-0.572448496,0.643738116,0.643738116,-1.639570526,0
"34",7,3,0.0882806146283381,418,24,-0.572448496,0.643738116,0.643738116,-1.639570526,1
"35",7,4,0.0882806146283381,77,311,-0.572448496,0.643738116,0.643738116,-1.639570526,0
"36",7,5,0.0882806146283381,73,546,-0.572448496,0.643738116,0.643738116,-1.639570526,0
"37",8,1,0.12965410315836,536,627,0.776698353,1.49423964,1.49423964,-0.741697737,0
"38",8,2,0.12965410315836,291,18,0.776698353,1.49423964,1.49423964,-0.741697737,0
"39",8,3,0.12965410315836,293,122,0.776698353,1.49423964,1.49423964,-0.741697737,0
"40",8,4,0.12965410315836,533,368,0.776698353,1.49423964,1.49423964,-0.741697737,0
"41",8,5,0.12965410315836,534,697,0.776698353,1.49423964,1.49423964,-0.741697737,0
"42",9,1,0.645695718723991,384,597,1.487729835,0.172880205,0.172880205,1.754104697,0
"43",9,2,0.657012856775462,381,560,0.956547268,0.643738116,0.643738116,1.31687973,0
"44",9,3,0.724110535078232,382,287,1.348487,0.172880205,0.172880205,1.31687973,0
"45",9,4,0.800147043867234,380,305,1.348487,0.172880205,0.172880205,1.164186551,0
"46",9,5,0.812637166635213,574,360,1.348487,0.643738116,0.643738116,0.830725571,0
"47",10,1,0.123488174784899,326,177,0.776698353,-0.149807866,-0.149807866,0.974755346,0
"48",10,2,0.200313924836083,552,173,0.956547268,-0.149807866,-0.149807866,1.002640843,0
"49",10,3,0.314361819247327,302,713,0.471473252,-0.149807866,-0.149807866,1.084605966,0
"50",10,4,0.319634810094968,300,599,0.471473252,-0.149807866,-0.149807866,1.030239339,0
"51",10,5,0.325769220682422,299,716,0.471473252,-0.149807866,-0.149807866,1.002640843,0
"52",11,1,0.0982965098329777,478,422,0.68028211,0.172880205,0.172880205,-0.741697737,1
"53",11,2,0.21032529919914,199,70,0.471473252,0.172880205,0.172880205,-0.616712577,1
"54",11,3,0.221646837488908,229,616,0.776698353,0.172880205,0.172880205,-0.445717247,1
"55",11,4,0.230072449242012,167,517,0.471473252,0.172880205,0.172880205,-0.741697737,0
"56",11,5,0.319315850698828,503,504,0.776698353,0.172880205,0.172880205,-0.340579242,0
"57",12,1,0.326660251122284,280,201,0.471473252,-0.589133831,-0.589133831,1.341555111,0
"58",12,2,0.413787043965596,276,572,0.776698353,-0.589133831,-0.589133831,0.800933818,0
"59",12,3,0.417236627737888,525,430,0.471473252,-0.751539609,-0.751539609,1.438225239,0
"60",12,4,0.450429351243764,222,36,0.471473252,-0.890212447,-0.890212447,0.709397,0
"61",12,5,0.451750034874086,512,411,0.471473252,-0.890212447,-0.890212447,1.366022838,0
"62",13,1,0.342224634980771,95,386,-0.572448496,-1.213548964,-1.213548964,1.084605966,0
"63",13,2,0.473161331181236,436,331,-0.572448496,-1.01100296,-1.01100296,0.918090569,0
"64",13,3,0.491523625798758,149,586,-0.572448496,-1.300118066,-1.300118066,1.732576379,0
"65",13,4,0.554811362779173,432,229,-0.572448496,-1.01100296,-1.01100296,0.830725571,0
"66",13,5,0.564061091833851,475,136,-0.572448496,-0.751539609,-0.751539609,1.111388605,0
"67",14,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"68",14,2,0.150554890989817,179,217,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"69",14,3,0.150554890989817,175,252,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"70",14,4,0.150554890989817,469,417,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"71",14,5,0.150554890989817,168,239,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"72",15,1,0.102817263934296,146,432,-0.572448496,-0.149807866,-0.149807866,-0.101636954,1
"73",15,2,0.369625205333226,427,319,-0.572448496,-0.149807866,-0.149807866,-0.500788071,0
"74",15,3,0.383908346173081,476,603,-0.572448496,-0.149807866,-0.149807866,0.228911412,1
"75",15,4,0.403902251459393,99,308,-0.572448496,-0.393788889,-0.393788889,-0.101636954,1
"76",15,5,0.413521406210731,90,653,-0.572448496,-0.393788889,-0.393788889,-0.241291892,0
"77",16,1,0.129366265198485,269,551,0.471473252,1.49423964,1.49423964,-0.951183901,0
"78",16,2,0.129366265198485,513,625,0.471473252,1.49423964,1.49423964,-0.951183901,0
"79",16,3,0.129366265198485,268,152,0.471473252,1.49423964,1.49423964,-0.951183901,0
"80",16,4,0.129366265198485,514,592,0.471473252,1.49423964,1.49423964,-0.951183901,0
"81",16,5,0.129366265198485,515,552,0.471473252,1.49423964,1.49423964,-0.951183901,1
"82",17,1,0.129356094138189,166,553,0.471473252,-0.589133831,-0.589133831,-0.057250437,0
"83",17,2,0.161522707468512,477,123,0.471473252,-0.589133831,-0.589133831,-0.013839696,0
"84",17,3,0.369251527939605,225,44,0.776698353,-0.393788889,-0.393788889,-0.101636954,0
"85",17,4,0.389067042194165,234,133,0.776698353,-0.393788889,-0.393788889,-0.013839696,0
"86",17,5,0.40080584024378,444,108,0.471473252,-0.393788889,-0.393788889,-0.500788071,0
"87",18,1,0.365952848723829,456,600,0.235528465,-1.213548964,-1.213548964,0.740281188,1
"88",18,2,0.541611670269076,159,113,0.235528465,-1.01100296,-1.01100296,0.614359355,0
"89",18,3,0.547095811626389,403,250,-0.572448496,-1.379091478,-1.379091478,0.412182818,1
"90",18,4,0.558770535567397,23,734,-0.572448496,-1.451648015,-1.451648015,0.447115082,0
"91",18,5,0.593034163075066,479,273,0.235528465,-1.01100296,-1.01100296,0.88929393,0
"92",19,1,0.0795614526161201,342,420,1.487729835,-1.300118066,-1.300118066,1.689075155,0
"93",19,2,0.555922778568286,526,418,1.275527738,-1.451648015,-1.451648015,1.291991927,1
"94",19,3,0.623323498491862,520,642,0.956547268,-1.451648015,-1.451648015,1.62266982,0
"95",19,4,0.647568502801143,304,315,0.956547268,-1.117854791,-1.117854791,1.754104697,0
"96",19,5,0.647640496833219,519,100,0.956547268,-1.518714928,-1.518714928,1.710900771,0
"97",20,1,0.225834610508166,102,662,-1.109636079,-0.149807866,-0.149807866,-0.101636954,0
"98",20,2,0.307030079798099,426,99,-1.109636079,-0.149807866,-0.149807866,-0.241291892,0
"99",20,3,0.347786867331827,146,432,-0.572448496,-0.149807866,-0.149807866,-0.101636954,1
"100",20,4,0.352215655689773,148,618,-1.109636079,-0.149807866,-0.149807866,0.266799003,0
"101",20,5,0.417102091066616,476,603,-0.572448496,-0.149807866,-0.149807866,0.228911412,1
