,Made Donation in March 2007
659,0.55
276,0.13
263,0.21
303,0.33
83,0.57
500,0.67
530,0.31
244,0.05
249,-0.07
728,0.05
129,0.22
534,0.14
317,0.36
401,0.21
696,0.37
192,0.03
176,0.18
571,0.50
139,0.10
423,0.38
563,0.50
56,0.47
528,0.50
101,0.21
467,0.19
382,0.27
466,0.37
294,0.05
512,0.43
659,0.55
389,0.28
487,0.05
701,0.31
419,0.20
536,0.12
240,0.20
508,0.13
515,0.05
283,0.48
650,0.21
65,0.50
228,0.14
741,0.07
297,0.48
464,0.07
63,0.31
231,0.55
28,0.09
248,0.05
357,0.15
300,0.54
726,0.53
680,0.13
520,0.45
254,0.02
582,0.20
143,0.19
98,0.55
1,0.37
221,0.50
352,0.21
64,0.11
138,0.27
745,0.42
64,0.11
688,0.04
623,0.07
289,0.18
174,0.37
690,0.21
105,0.19
427,0.17
48,-0.10
14,0.21
657,0.05
301,0.16
455,0.10
579,0.31
722,0.13
98,0.55
491,-0.10
303,0.33
466,0.37
65,0.50
300,0.54
9,-0.02
622,0.03
323,0.04
289,0.18
568,0.41
290,0.21
156,0.11
464,0.07
426,0.08
306,0.19
4,0.29
12,0.50
187,0.25
406,0.11
96,0.31
509,0.31
733,0.13
548,0.05
478,0.26
501,0.23
127,0.58
199,0.23
299,0.52
162,0.21
235,0.09
23,0.14
473,0.21
487,0.05
683,0.48
303,0.33
309,0.03
569,-0.03
34,0.48
686,0.62
84,0.21
733,0.13
537,0.55
181,0.17
453,0.69
67,0.51
161,0.40
307,0.32
703,0.15
181,0.17
246,0.12
316,0.50
278,0.03
346,0.22
545,0.21
419,0.20
694,0.31
622,0.03
663,0.02
262,0.60
461,0.24
373,0.76
233,0.21
466,0.37
207,0.19
263,0.21
16,-0.03
513,0.04
449,0.43
429,0.02
701,0.31
632,0.02
529,0.61
245,0.23
344,0.18
353,0.09
241,0.34
633,0.02
624,0.31
726,0.53
189,0.03
138,0.27
402,0.05
511,0.56
590,0.52
334,0.14
447,0.04
119,0.37
389,0.28
644,0.21
423,0.38
131,-0.03
405,-0.11
82,0.21
643,0.73
156,0.11
617,0.05
574,0.57
272,0.24
613,0.05
545,0.21
685,0.05
570,0.19
537,0.55
691,0.02
85,0.42
483,0.12
455,0.10
93,0.03
744,0.31
33,0.12
321,0.69
523,0.27
426,0.08
196,0.07
301,0.16
103,0.02
224,0.02
454,0.10
585,0.01
154,0.38
