,Made Donation in March 2007
659,0.47
276,0.10
263,0.19
303,0.35
83,0.57
500,0.75
530,0.30
244,0.02
249,-0.06
728,0.07
129,0.12
534,0.15
317,0.25
401,0.19
696,0.34
192,0.05
176,0.25
571,0.46
139,0.06
423,0.34
563,0.49
56,0.36
528,0.44
101,0.19
467,0.25
382,0.26
466,0.41
294,0.02
512,0.36
659,0.47
389,0.27
487,0.02
701,0.32
419,0.25
536,0.15
240,0.27
508,0.18
515,0.02
283,0.41
650,0.19
65,0.50
228,0.15
741,0.05
297,0.43
464,0.11
63,0.32
231,0.43
28,0.10
248,0.02
357,0.17
300,0.49
726,0.54
680,0.15
520,0.33
254,0.00
582,0.20
143,0.19
98,0.52
1,0.32
221,0.47
352,0.19
64,0.09
138,0.26
745,0.34
64,0.09
688,0.06
623,0.10
289,0.18
174,0.35
690,0.19
105,0.19
427,0.11
48,-0.11
14,0.19
657,0.03
301,0.14
455,0.11
579,0.25
722,0.11
98,0.52
491,-0.11
303,0.35
466,0.41
65,0.50
300,0.49
9,-0.03
622,0.05
323,0.06
289,0.18
568,0.39
290,0.19
156,0.11
464,0.11
426,0.04
306,0.24
4,0.33
12,0.40
187,0.27
406,0.06
96,0.30
509,0.32
733,0.14
548,0.04
478,0.26
501,0.13
127,0.55
199,0.19
299,0.43
162,0.19
235,0.09
23,0.17
473,0.19
487,0.02
683,0.48
303,0.35
309,0.02
569,-0.04
34,0.45
686,0.65
84,0.30
733,0.14
537,0.54
181,0.17
453,0.68
67,0.41
161,0.38
307,0.29
703,0.10
181,0.17
246,0.06
316,0.41
278,0.05
346,0.16
545,0.19
419,0.25
694,0.30
622,0.05
663,0.04
262,0.66
461,0.20
373,0.76
233,0.19
466,0.41
207,0.19
263,0.19
16,-0.04
513,0.03
449,0.33
429,0.00
701,0.32
632,0.01
529,0.63
245,0.32
344,0.14
353,0.08
241,0.28
633,0.01
624,0.32
726,0.54
189,0.05
138,0.26
402,0.02
511,0.45
590,0.48
334,0.18
447,0.06
119,0.41
389,0.27
644,0.19
423,0.34
131,-0.04
405,-0.12
82,0.19
643,0.75
156,0.11
617,0.04
574,0.51
272,0.21
613,0.06
545,0.19
685,0.02
570,0.20
537,0.54
691,0.01
85,0.42
483,0.06
455,0.11
93,0.05
744,0.32
33,0.06
321,0.67
523,0.25
426,0.04
196,0.08
301,0.14
103,0.01
224,0.01
454,0.09
585,0.00
154,0.32
