,Made Donation in March 2007
659,0.57
276,0.20
263,0.27
303,0.32
83,0.47
500,0.65
530,0.34
244,0.25
249,0.04
728,0.13
129,0.28
534,0.21
317,0.33
401,0.27
696,0.44
192,0.20
176,0.26
571,0.42
139,0.17
423,0.40
563,0.57
56,0.50
528,0.34
101,0.27
467,0.24
382,0.41
466,0.41
294,0.25
512,0.45
659,0.57
389,0.45
487,0.18
701,0.31
419,0.26
536,0.21
240,0.27
508,0.20
515,0.25
283,0.51
650,0.27
65,0.57
228,0.24
741,0.16
297,0.50
464,0.26
63,0.31
231,0.44
28,0.31
248,0.25
357,0.25
300,0.52
726,0.55
680,0.25
520,0.49
254,0.07
582,0.23
143,0.24
98,0.49
1,0.50
221,0.49
352,0.27
64,0.14
138,0.26
745,0.43
64,0.14
688,0.21
623,0.14
289,0.22
174,0.39
690,0.27
105,0.23
427,0.23
48,-0.01
14,0.27
657,0.20
301,0.21
455,0.27
579,0.36
722,0.22
98,0.49
491,-0.01
303,0.32
466,0.41
65,0.57
300,0.52
9,0.09
622,0.20
323,0.22
289,0.22
568,0.40
290,0.27
156,0.17
464,0.26
426,0.23
306,0.24
4,0.31
12,0.44
187,0.26
406,0.23
96,0.34
509,0.31
733,0.23
548,0.22
478,0.25
501,0.34
127,0.69
199,0.29
299,0.58
162,0.27
235,0.26
23,0.30
473,0.27
487,0.18
683,0.55
303,0.32
309,0.10
569,0.07
34,0.50
686,0.56
84,0.22
733,0.23
537,0.52
181,0.23
453,0.57
67,0.58
161,0.49
307,0.47
703,0.23
181,0.23
246,0.25
316,0.50
278,0.20
346,0.34
545,0.27
419,0.26
694,0.34
622,0.20
663,0.08
262,0.60
461,0.30
373,0.76
233,0.27
466,0.41
207,0.24
263,0.27
16,0.07
513,0.22
449,0.42
429,0.07
701,0.31
632,0.08
529,0.50
245,0.24
344,0.24
353,0.25
241,0.35
633,0.09
624,0.31
726,0.55
189,0.20
138,0.26
402,0.25
511,0.42
590,0.39
334,0.19
447,0.12
119,0.41
389,0.45
644,0.27
423,0.40
131,0.07
405,-0.02
82,0.27
643,0.70
156,0.17
617,0.20
574,0.64
272,0.29
613,0.07
545,0.27
685,0.25
570,0.22
537,0.52
691,0.09
85,0.49
483,0.25
455,0.27
93,0.20
744,0.31
33,0.25
321,0.56
523,0.25
426,0.23
196,0.26
301,0.21
103,0.09
224,0.17
454,0.20
585,0.21
154,0.43
