,Made Donation in March 2007
659,0.42
276,0.16
263,0.22
303,0.34
83,0.48
500,0.63
530,0.30
244,0.07
249,-0.06
728,0.11
129,0.17
534,0.20
317,0.28
401,0.22
696,0.31
192,0.10
176,0.27
571,0.41
139,0.16
423,0.31
563,0.42
56,0.33
528,0.38
101,0.22
467,0.25
382,0.30
466,0.35
294,0.07
512,0.32
659,0.42
389,0.31
487,0.08
701,0.31
419,0.27
536,0.16
240,0.28
508,0.18
515,0.07
283,0.36
650,0.22
65,0.42
228,0.19
741,0.11
297,0.38
464,0.14
63,0.31
231,0.37
28,0.14
248,0.07
357,0.20
300,0.43
726,0.49
680,0.18
520,0.31
254,0.03
582,0.24
143,0.23
98,0.43
1,0.30
221,0.42
352,0.22
64,0.11
138,0.29
745,0.34
64,0.11
688,0.10
623,0.14
289,0.25
174,0.34
690,0.22
105,0.22
427,0.16
48,-0.12
14,0.22
657,0.07
301,0.19
455,0.15
579,0.28
722,0.15
98,0.43
491,-0.12
303,0.34
466,0.35
65,0.42
300,0.43
9,0.00
622,0.10
323,0.10
289,0.25
568,0.35
290,0.22
156,0.12
464,0.14
426,0.10
306,0.27
4,0.33
12,0.36
187,0.29
406,0.12
96,0.30
509,0.31
733,0.19
548,0.08
478,0.27
501,0.16
127,0.45
199,0.25
299,0.39
162,0.22
235,0.14
23,0.19
473,0.22
487,0.08
683,0.42
303,0.34
309,0.05
569,-0.01
34,0.39
686,0.54
84,0.28
733,0.19
537,0.45
181,0.20
453,0.59
67,0.38
161,0.38
307,0.29
703,0.15
181,0.20
246,0.12
316,0.36
278,0.10
346,0.20
545,0.22
419,0.27
694,0.30
622,0.10
663,0.07
262,0.54
461,0.26
373,0.68
233,0.22
466,0.35
207,0.23
263,0.22
16,-0.01
513,0.07
449,0.31
429,0.03
701,0.31
632,0.04
529,0.52
245,0.32
344,0.18
353,0.13
241,0.31
633,0.05
624,0.31
726,0.49
189,0.10
138,0.29
402,0.07
511,0.39
590,0.42
334,0.19
447,0.09
119,0.35
389,0.31
644,0.22
423,0.31
131,-0.01
405,-0.14
82,0.22
643,0.71
156,0.12
617,0.08
574,0.42
272,0.27
613,0.07
545,0.22
685,0.07
570,0.23
537,0.45
691,0.05
85,0.40
483,0.12
455,0.15
93,0.10
744,0.31
33,0.12
321,0.57
523,0.25
426,0.10
196,0.11
301,0.19
103,0.05
224,0.06
454,0.15
585,0.04
154,0.33
