,Made Donation in March 2007
659,0.42
276,0.16
263,0.21
303,0.34
83,0.48
500,0.63
530,0.29
244,0.07
249,-0.06
728,0.11
129,0.17
534,0.20
317,0.29
401,0.21
696,0.31
192,0.10
176,0.27
571,0.42
139,0.16
423,0.31
563,0.42
56,0.33
528,0.38
101,0.21
467,0.25
382,0.30
466,0.35
294,0.07
512,0.32
659,0.42
389,0.31
487,0.09
701,0.30
419,0.27
536,0.16
240,0.28
508,0.18
515,0.07
283,0.36
650,0.21
65,0.41
228,0.19
741,0.12
297,0.38
464,0.14
63,0.30
231,0.37
28,0.14
248,0.07
357,0.20
300,0.44
726,0.50
680,0.18
520,0.31
254,0.03
582,0.24
143,0.23
98,0.43
1,0.30
221,0.43
352,0.21
64,0.11
138,0.30
745,0.35
64,0.11
688,0.10
623,0.14
289,0.25
174,0.34
690,0.21
105,0.22
427,0.16
48,-0.12
14,0.21
657,0.08
301,0.19
455,0.15
579,0.29
722,0.15
98,0.43
491,-0.12
303,0.34
466,0.35
65,0.41
300,0.44
9,0.00
622,0.10
323,0.10
289,0.25
568,0.34
290,0.21
156,0.12
464,0.14
426,0.10
306,0.28
4,0.33
12,0.36
187,0.30
406,0.13
96,0.29
509,0.30
733,0.19
548,0.08
478,0.27
501,0.16
127,0.45
199,0.26
299,0.39
162,0.21
235,0.13
23,0.19
473,0.21
487,0.09
683,0.42
303,0.34
309,0.05
569,-0.01
34,0.39
686,0.55
84,0.27
733,0.19
537,0.45
181,0.20
453,0.60
67,0.38
161,0.38
307,0.29
703,0.15
181,0.20
246,0.12
316,0.36
278,0.10
346,0.20
545,0.21
419,0.27
694,0.29
622,0.10
663,0.07
262,0.54
461,0.27
373,0.69
233,0.21
466,0.35
207,0.23
263,0.21
16,-0.01
513,0.07
449,0.31
429,0.04
701,0.30
632,0.04
529,0.52
245,0.32
344,0.18
353,0.13
241,0.32
633,0.05
624,0.30
726,0.50
189,0.10
138,0.30
402,0.07
511,0.39
590,0.42
334,0.19
447,0.09
119,0.35
389,0.31
644,0.21
423,0.31
131,-0.01
405,-0.13
82,0.21
643,0.72
156,0.12
617,0.08
574,0.42
272,0.27
613,0.07
545,0.21
685,0.07
570,0.23
537,0.45
691,0.05
85,0.40
483,0.12
455,0.15
93,0.10
744,0.30
33,0.12
321,0.58
523,0.25
426,0.10
196,0.11
301,0.19
103,0.05
224,0.06
454,0.15
585,0.04
154,0.33
