,Made Donation in March 2007
659,0.29
276,0.09
263,0.14
303,0.24
83,0.36
500,0.48
530,0.24
244,0.00
249,-0.07
728,0.05
129,0.09
534,0.11
317,0.18
401,0.14
696,0.21
192,0.03
176,0.18
571,0.30
139,0.07
423,0.21
563,0.30
56,0.22
528,0.28
101,0.14
467,0.15
382,0.19
466,0.25
294,0.00
512,0.22
659,0.29
389,0.19
487,0.02
701,0.25
419,0.17
536,0.09
240,0.19
508,0.10
515,0.00
283,0.26
650,0.14
65,0.34
228,0.11
741,0.04
297,0.27
464,0.07
63,0.25
231,0.28
28,0.07
248,0.00
357,0.12
300,0.31
726,0.35
680,0.11
520,0.21
254,-0.01
582,0.15
143,0.13
98,0.35
1,0.20
221,0.30
352,0.14
64,0.05
138,0.19
745,0.23
64,0.05
688,0.03
623,0.07
289,0.15
174,0.23
690,0.14
105,0.13
427,0.09
48,-0.14
14,0.14
657,0.02
301,0.11
455,0.08
579,0.18
722,0.08
98,0.35
491,-0.14
303,0.24
466,0.25
65,0.34
300,0.31
9,-0.05
622,0.03
323,0.03
289,0.15
568,0.24
290,0.14
156,0.06
464,0.07
426,0.03
306,0.18
4,0.23
12,0.25
187,0.19
406,0.06
96,0.24
509,0.25
733,0.10
548,0.02
478,0.17
501,0.08
127,0.35
199,0.15
299,0.27
162,0.14
235,0.06
23,0.11
473,0.14
487,0.02
683,0.31
303,0.24
309,0.00
569,-0.06
34,0.28
686,0.41
84,0.18
733,0.10
537,0.34
181,0.11
453,0.42
67,0.26
161,0.25
307,0.19
703,0.08
181,0.11
246,0.05
316,0.25
278,0.03
346,0.12
545,0.14
419,0.17
694,0.24
622,0.03
663,0.02
262,0.41
461,0.15
373,0.48
233,0.14
466,0.25
207,0.13
263,0.14
16,-0.06
513,0.01
449,0.21
429,-0.01
701,0.25
632,-0.01
529,0.40
245,0.22
344,0.10
353,0.06
241,0.20
633,-0.01
624,0.25
726,0.35
189,0.03
138,0.19
402,0.00
511,0.28
590,0.34
334,0.11
447,0.04
119,0.25
389,0.19
644,0.14
423,0.21
131,-0.06
405,-0.15
82,0.14
643,0.48
156,0.06
617,0.02
574,0.32
272,0.16
613,0.03
545,0.14
685,0.00
570,0.14
537,0.34
691,-0.01
85,0.27
483,0.05
455,0.08
93,0.03
744,0.25
33,0.05
321,0.42
523,0.16
426,0.03
196,0.05
301,0.11
103,-0.01
224,0.00
454,0.08
585,-0.01
154,0.22
